Month,HM-NE,HM-SW,HM-NW,HM-SE,HM-C
Jan,1574815,1607493,1586799,1570926,1547730
Feb,1688763,1597750,1640630,1545259,1517826
Mar,1574816,1551672,1532001,1509031,1486792
Apr,1623266,1605619,1574000,1611615,1532852
May,1672456,1709237,1622550,1601156,1580994
Jun,1559609,1534783,1569245,1491366,1474712
Jul,1671717,1587310,1566687,1603342,1583461
Aug,1654831,1625106,1662321,1574144,1543848
Sep,1606160,1642152,1618403,1536130,1520076
Oct,1380063,1351220,1351293,1334204,1364454
Nov,1551486,1524624,1440957,1417422,1451913
Dec,1446801,1419772,1343743,1383670,1360520
